,precision,recall,f1-score,support
0,0.7265625,0.3765182186234818,0.49599999999999994,247.0
1,0.5849056603773585,0.8611111111111112,0.696629213483146,252.0
accuracy,0.6212424849699398,0.6212424849699398,0.6212424849699398,0.6212424849699398
macro avg,0.6557340801886793,0.6188146648672965,0.596314606741573,499.0
weighted avg,0.6550243765833554,0.6212424849699398,0.5973197631217491,499.0
