,precision,recall,f1-score,support
0,0.6619718309859155,0.951417004048583,0.7807308970099668,247.0
1,0.9166666666666666,0.5238095238095238,0.6666666666666667,252.0
accuracy,0.7354709418837675,0.7354709418837675,0.7354709418837675,0.7354709418837675
macro avg,0.789319248826291,0.7376132639290534,0.7236987818383167,499.0
weighted avg,0.7905952750571567,0.7354709418837675,0.7231273177584405,499.0
