,precision,recall,f1-score,support
0,0.670487106017192,0.9473684210526315,0.7852348993288591,247.0
1,0.9133333333333333,0.5436507936507936,0.6815920398009949,252.0
accuracy,0.7434869739478958,0.7434869739478958,0.7434869739478958,0.7434869739478958
macro avg,0.7919102196752626,0.7455096073517126,0.733413469564927,499.0
weighted avg,0.7931268841407744,0.7434869739478958,0.7328942167616813,499.0
